i	autoc
1274	0.348513
1275	0.345701
1276	0.342758
1277	0.339685
1278	0.336482
1279	0.333152
1280	0.329697
1281	0.326118
1282	0.322417
1283	0.318595
1284	0.314656
1285	0.310600
1286	0.306429
1287	0.302146
1288	0.297753
1289	0.293251
1290	0.288643
1291	0.283931
1292	0.279117
1293	0.274203
1294	0.269192
1295	0.264086
1296	0.258887
1297	0.253598
1298	0.248221
1299	0.242758
1300	0.237212
1301	0.231586
1302	0.225881
1303	0.220101
1304	0.214247
1305	0.208323
1306	0.202332
1307	0.196275
1308	0.190155
1309	0.183975
1310	0.177738
1311	0.171447
1312	0.165103
1313	0.158710
1314	0.152271
1315	0.145788
1316	0.139264
1317	0.132702
1318	0.126105
1319	0.119474
1320	0.112814
1321	0.106127
1322	0.099416
1323	0.092683
1324	0.085931
1325	0.079163
1326	0.072382
1327	0.065591
1328	0.058792
1329	0.051988
1330	0.045183
1331	0.038378
1332	0.031576
1333	0.024781
1334	0.017995
1335	0.011220
1336	0.004460
1337	-0.002282
1338	-0.009006
1339	-0.015706
1340	-0.022382
1341	-0.029029
1342	-0.035647
1343	-0.042231
1344	-0.048780
1345	-0.055291
1346	-0.061761
1347	-0.068188
1348	-0.074569
1349	-0.080902
1350	-0.087185
1351	-0.093414
1352	-0.099589
1353	-0.105706
1354	-0.111763
1355	-0.117757
1356	-0.123687
1357	-0.129551
1358	-0.135346
1359	-0.141069
1360	-0.146720
1361	-0.152295
1362	-0.157793
1363	-0.163212
1364	-0.168550
1365	-0.173805
1366	-0.178974
1367	-0.184057
1368	-0.189051
1369	-0.193955
1370	-0.198767
1371	-0.203485
1372	-0.208107
1373	-0.212633
1374	-0.217060
1375	-0.221386
1376	-0.225612
1377	-0.229734
1378	-0.233753
1379	-0.237666
1380	-0.241472
1381	-0.245170
1382	-0.248758
1383	-0.252237
1384	-0.255604
1385	-0.258859
1386	-0.262000
1387	-0.265027
1388	-0.267939
1389	-0.270735
1390	-0.273414
1391	-0.275976
1392	-0.278419
1393	-0.280744
1394	-0.282949
1395	-0.285035
1396	-0.287000
1397	-0.288845
1398	-0.290568
1399	-0.292171
1400	-0.293651
1401	-0.295010
1402	-0.296246
1403	-0.297361
1404	-0.298353
1405	-0.299223
1406	-0.299971
1407	-0.300596
1408	-0.301100
1409	-0.301482
1410	-0.301743
1411	-0.301882
1412	-0.301901
1413	-0.301799
1414	-0.301577
1415	-0.301235
1416	-0.300775
1417	-0.300196
1418	-0.299499
1419	-0.298685
1420	-0.297755
1421	-0.296709
1422	-0.295548
1423	-0.294273
1424	-0.292885
1425	-0.291385
1426	-0.289774
1427	-0.288053
1428	-0.286223
1429	-0.284285
1430	-0.282240
1431	-0.280089
1432	-0.277834
1433	-0.275476
1434	-0.273017
1435	-0.270457
1436	-0.267797
1437	-0.265041
1438	-0.262188
1439	-0.259241
1440	-0.256200
1441	-0.253068
1442	-0.249846
1443	-0.246535
1444	-0.243138
1445	-0.239656
1446	-0.236091
1447	-0.232444
1448	-0.228718
1449	-0.224913
1450	-0.221033
1451	-0.217078
1452	-0.213050
1453	-0.208953
1454	-0.204786
1455	-0.200553
1456	-0.196256
1457	-0.191896
1458	-0.187475
1459	-0.182995
1460	-0.178459
1461	-0.173868
1462	-0.169225
1463	-0.164532
1464	-0.159790
1465	-0.155002
1466	-0.150170
1467	-0.145296
1468	-0.140382
1469	-0.135431
1470	-0.130444
1471	-0.125424
1472	-0.120373
1473	-0.115293
1474	-0.110186
1475	-0.105054
1476	-0.099901
1477	-0.094727
1478	-0.089535
1479	-0.084327
1480	-0.079106
1481	-0.073873
1482	-0.068632
1483	-0.063383
1484	-0.058129
1485	-0.052873
1486	-0.047616
1487	-0.042360
1488	-0.037109
1489	-0.031863
1490	-0.026626
1491	-0.021398
1492	-0.016183
1493	-0.010983
1494	-0.005798
1495	-0.000633
1496	0.004512
1497	0.009635
1498	0.014733
1499	0.019804
1500	0.024847
1501	0.029859
1502	0.034839
1503	0.039784
1504	0.044693
1505	0.049564
1506	0.054395
1507	0.059184
1508	0.063929
1509	0.068629
1510	0.073281
1511	0.077885
1512	0.082438
1513	0.086939
1514	0.091385
1515	0.095777
1516	0.100111
1517	0.104386
1518	0.108601
1519	0.112754
1520	0.116844
1521	0.120870
1522	0.124830
1523	0.128722
1524	0.132545
1525	0.136298
1526	0.139981
1527	0.143590
1528	0.147126
1529	0.150587
1530	0.153972
1531	0.157280
1532	0.160510
1533	0.163661
1534	0.166731
1535	0.169721
1536	0.172628
1537	0.175453
1538	0.178194
1539	0.180851
1540	0.183423
1541	0.185908
1542	0.188307
1543	0.190619
1544	0.192844
1545	0.194980
1546	0.197027
1547	0.198985
1548	0.200853
1549	0.202631
1550	0.204318
1551	0.205915
1552	0.207420
1553	0.208835
1554	0.210157
1555	0.211389
1556	0.212528
1557	0.213575
1558	0.214531
1559	0.215395
1560	0.216167
1561	0.216847
1562	0.217435
1563	0.217932
1564	0.218338
1565	0.218652
1566	0.218876
1567	0.219009
1568	0.219052
1569	0.219006
1570	0.218869
1571	0.218644
1572	0.218331
1573	0.217929
1574	0.217441
1575	0.216865
1576	0.216203
1577	0.215456
1578	0.214624
1579	0.213708
1580	0.212708
1581	0.211626
1582	0.210463
1583	0.209218
1584	0.207894
1585	0.206490
1586	0.205008
1587	0.203450
1588	0.201815
1589	0.200105
1590	0.198320
1591	0.196463
1592	0.194534
1593	0.192534
1594	0.190465
1595	0.188327
1596	0.186122
1597	0.183852
1598	0.181516
1599	0.179117
1600	0.176656
1601	0.174134
1602	0.171552
1603	0.168913
1604	0.166216
1605	0.163465
1606	0.160659
1607	0.157801
1608	0.154892
1609	0.151933
1610	0.148926
1611	0.145872
1612	0.142773
1613	0.139631
1614	0.136446
1615	0.133221
1616	0.129956
1617	0.126655
1618	0.123317
1619	0.119945
1620	0.116540
1621	0.113104
1622	0.109638
1623	0.106144
1624	0.102624
1625	0.099079
1626	0.095511
1627	0.091921
1628	0.088311
1629	0.084683
1630	0.081038
1631	0.077378
1632	0.073704
1633	0.070018
1634	0.066322
1635	0.062617
1636	0.058905
1637	0.055188
1638	0.051467
1639	0.047743
1640	0.044018
